Año;65 a 79 años;80 y más;fuente:
1908;965278;174179;HMD
1909;961236;177097;HMD
1910;978692;178463;HMD
1911;972954;179502;HMD
1912;1005131;178860;HMD
1913;1002796;180989;HMD
1914;1023065;182613;HMD
1915;1002427;183304;HMD
1916;1139779;183544;HMD
1917;1115701;184865;HMD
1918;1122566;183514;HMD
1919;1085670;182935;HMD
1920;1094096;184918;HMD
1921;1073679;189159;HMD
1922;1099996;193599;HMD
1923;1100270;198104;HMD
1924;1119236;201697;HMD
1925;1109337;206760;HMD
1926;1235324;208747;HMD
1927;1220636;212759;HMD
1928;1235884;214428;HMD
1929;1229333;221397;HMD
1930;1252919;229615;HMD
1931;1263631;238116;HMD
1932;1299219;239786;HMD
1933;1304768;244273;HMD
1934;1330627;247838;HMD
1935;1313479;251927;HMD
1936;1425544;256093;HMD
1937;1419669;259122;HMD
1938;1443012;255760;HMD
1939;1429402;247421;HMD
1940;1457425;246001;HMD
1941;1475609;249531;HMD
1942;1480902;239809;HMD
1943;1491091;239885;HMD
1944;1526530;246432;HMD
1945;1521986;252131;HMD
1946;1619316;261081;HMD
1947;1622424;264365;HMD
1948;1653221;267104;HMD
1949;1676162;275303;HMD
1950;1723320;283114;HMD
1951;1756549;293373;HMD
1952;1791882;295510;HMD
1953;1827162;305938;HMD
1954;1880398;313823;HMD
1955;1901555;325066;HMD
1956;1963064;335161;HMD
1957;1968440;339592;HMD
1958;2001275;346112;HMD
1959;2039018;358759;HMD
1960;2084965;371845;HMD
1961;2139852;385851;HMD
1962;2216765;400410;HMD
1963;2258869;408389;HMD
1964;2302118;416609;HMD
1965;2333599;429919;HMD
1966;2436656;445207;HMD
1967;2495237;460365;HMD
1968;2573497;475805;HMD
1969;2637167;495184;HMD
1970;2703883;510636;HMD
1971;2785694;528380;HMD
1972;2860935;534739;HMD
1973;2937625;553043;HMD
1974;3015034;563628;HMD
1975;3088065;578831;HMD
1976;3151618;595331;HMD
1977;3216904;621045;HMD
1978;3300871;639430;HMD
1979;3375434;659959;HMD
1980;3453315;682094;HMD
1981;3503389;731265;HMD
1982;3546358;766603;HMD
1983;3583571;815205;HMD
1984;3618714;856139;HMD
1985;3664319;899729;HMD
1986;3730052;942527;HMD
1987;3817418;986284;HMD
1988;3916699;1034571;HMD
1989;4013061;1083054;HMD
1990;4113511;1128990;HMD
1991;4206483;1177302;HMD
1992;4309129;1218849;HMD
1993;4404252;1269425;HMD
1994;4512608;1311514;HMD
1995;4622022;1356467;HMD
1996;4749138;1394133;HMD
1997;4870713;1425718;HMD
1998;5042162;1459281;INE-Estad¡sticas del Padr¢n continuo
1999;5223662;1515899;INE-Estad¡sticas del Padr¢n continuo
2000;5307511;1555235;INE-Estad¡sticas del Padr¢n continuo
2001;5404513;1633040;INE-Estad¡sticas del Padr¢n continuo
2002;5486396;1683041;INE-Estad¡sticas del Padr¢n continuo
2003;5519776;1756844;INE-Estad¡sticas del Padr¢n continuo
2004;5481437;1819572;INE-Estad¡sticas del Padr¢n continuo
2005;5429048;1903219;INE-Estad¡sticas del Padr¢n continuo
2006;5509569;1974823;INE-Estad¡sticas del Padr¢n continuo
2007;5485272;2046554;INE-Estad¡sticas del Padr¢n continuo
2008;5509140;2123785;INE-Estad¡sticas del Padr¢n continuo
2009;5568782;2214122;INE-Estad¡sticas del Padr¢n continuo
2010;5627958;2303206;INE-Estad¡sticas del Padr¢n continuo
2011;5689463;2404094;INE-Estad¡sticas del Padr¢n continuo
2012;5730536;2491660;INE-Estad¡sticas del Padr¢n continuo
2013;5760758;2575103;INE-Estad¡sticas del Padr¢n continuo
2014;5791435;2650992;INE-Estad¡sticas del Padr¢n continuo
2015;5847909;2726076;INE-Estad¡sticas del Padr¢n continuo
2016;5878777;2778928;INE-Estad¡sticas del Padr¢n continuo
2017;5920334;2843870;INE-Estad¡sticas del Padr¢n continuo
2018;6036556;2871595;INE-Estad¡sticas del Padr¢n continuo
2019;6192674;2864519;INE-Estad¡sticas del Padr¢n continuo
2020;6384357;2834024;INE-Estad¡sticas del Padr¢n continuo
2021;6448011;2862817;INE-Estad¡sticas del Padr¢n continuo
2022;6614527;2864483;INE-Estad¡sticas del Padr¢n continuo
2023;6815922;2871854;INE-Censos de Poblaci¢n y Viviendas
2024;6977475;2971896;INE-Proyecciones de poblaci¢n
2025;7141583;3044186;INE-Proyecciones de poblaci¢n
2026;7303953;3130221;INE-Proyecciones de poblaci¢n
2027;7479648;3195992;INE-Proyecciones de poblaci¢n
2028;7652397;3273556;INE-Proyecciones de poblaci¢n
2029;7811695;3380913;INE-Proyecciones de poblaci¢n
2030;8020039;3466030;INE-Proyecciones de poblaci¢n
2031;8232415;3532562;INE-Proyecciones de poblaci¢n
2032;8439236;3603465;INE-Proyecciones de poblaci¢n
2033;8635667;3694466;INE-Proyecciones de poblaci¢n
2034;8823661;3782529;INE-Proyecciones de poblaci¢n
2035;9016657;3865295;INE-Proyecciones de poblaci¢n
2036;9195560;3961256;INE-Proyecciones de poblaci¢n
2037;9370749;4064004;INE-Proyecciones de poblaci¢n
2038;9524523;4190928;INE-Proyecciones de poblaci¢n
2039;9670202;4321540;INE-Proyecciones de poblaci¢n
2040;9820809;4456032;INE-Proyecciones de poblaci¢n
2041;9963656;4594901;INE-Proyecciones de poblaci¢n
